"date","summary","group"
"2016-11-14","Polkadot whitepaper published by Gavin Wood, outlining a sharded, interoperable network.","Other coins"
"2016-12-07","Bitcoin Classic v1.3.1 released, maintenance patch with bug fixes.","Bitcoin software variants"
"2016-12-09","Bitcoin Unlimited v1.0.1 released, maintenance update.","Bitcoin software variants"
"2017-01-01","China dominates global Bitcoin mining with cheap electricity and manufacturing advantages.","#OfficialBitcoin"
"2017-01-01","Lightning Network testnet launches for developer testing and experimentation.","#OfficialBitcoin"
"2017-01-01","Developer conferences and workshops increase, fostering global collaboration.","#OfficialBitcoin"
"2017-01-03","Bitcoin Core v0.13.2 released, bug fixes and network stability","Bitcoin software variants"
"2017-02-09","Bitcoin Classic v1.3.2 released, final update of the 1.3 branch.","Bitcoin software variants"
"2017-02-17","Bcoin v1.0.0 released, production-ready Bitcoin full node in Node.js.","Bitcoin software variants"
"2017-02-23","Bitcoin Unlimited v1.1.0 released, better configuration and UI improvements.","Bitcoin software variants"
"2017-03-01","BIP148 UASF threatens to split network if SegWit not activated.","#OfficialBitcoin"
"2017-03-08","Bitcoin Core v0.14.0 released, further scaling improvements","Bitcoin software variants"
"2017-03-08","Knots v0.14 released, continuing to follow Core while keeping distinct policy rules.","Bitcoin software variants"
"2017-03-08","Libbitcoin v3.0.0 released, major rewrite delivering a stable, production-ready build of the core libraries.","Bitcoin software variants"
"2017-03-09","Bitcoin Unlimited v1.1.1 released, fixing critical crash bug.","Bitcoin software variants"
"2017-03-10","BIP148 proposed by Shaolin Fry as a UASF to force SegWit activation.","Bitcoin software variants"
"2017-03-10","SEC rejects first Bitcoin ETF proposal, citing lack of oversight and risk of market manipulation.","Government"
"2017-04-22","Bitcoin Core v0.14.1 released, minor fixes and reliability","Bitcoin software variants"
"2017-05-04","ENS protocol launches by Nick Johnson and the Ethereum Foundation with the .eth top-level domain.","Other crypto/web3 topics"
"2017-05-10","Litecoin officially activates Segregated Witness (SegWit), enhancing transaction efficiency.","Other coins"
"2017-05-23","New York Agreement proposes SegWit + 2MB blocks compromise.","#OfficialBitcoin"
"2017-05-23","btc1 project announced by Jeff Garzik, fork of Bitcoin Core 0.14 to implement SegWit2x.","Bitcoin software variants"
"2017-06-14","First BIP148-compliant clients released, letting users run UASF-enforcing nodes.","Bitcoin software variants"
"2017-06-15","Bitcoin Classic v1.4.0 released, adding support for the SegWit soft fork.","Bitcoin software variants"
"2017-06-17","Bitcoin Core v0.14.2 released, improved peer-to-peer handling","Bitcoin software variants"
"2017-06-23","CryptoPunks launch as first major NFT collection with 10,000 unique pixelated character avatars.","Other crypto/web3 topics"
"2017-06-26","Binance launches the Binance Coin ICO to raise funds for its new cryptocurrency exchange platform.","Other coins"
"2017-06-30","btc1 v1.14.1 released, activating SegWit via BIP91 signalling.","Bitcoin software variants"
"2017-07-01","Bitcoin Gold project announced by Jack Liao and team, promising ASIC-resistant mining.","Bitcoin software variants"
"2017-07-03","Binance Coin ICO ends, selling out and raising funds that establish Binance's future growth.","Other coins"
"2017-07-14","Binance Coin launches as an ERC-20 token on Ethereum, used for fee discounts on Binance Exchange.","Other coins"
"2017-07-14","Binance Exchange officially goes live, driving early adoption and utility for Binance Coin.","Other coins"
"2017-07-14","Binance exchange launches after its ICO, quickly gaining volume and becoming a top platform.","Other crypto/web3 topics"
"2017-07-17","btc1 v1.14.2 released, refining SegWit2x code and miner signalling logic.","Bitcoin software variants"
"2017-07-21","BIP91 locks in, miners begin signalling SegWit before the BIP148 deadline.","Bitcoin software variants"
"2017-07-28","Bitcoin Classic v1.4.1 released, bug fix update.","Bitcoin software variants"
"2017-07-28","Bitcoin Unlimited v1.2.0 released, preparing for the Bitcoin Cash fork.","Bitcoin software variants"
"2017-07-28","Bitcoin ABC v0.14.0 released, reference client for the upcoming BCH hard fork.","Bitcoin software variants"
"2017-07-28","Sam Williams and William Jones found Arweave to build a permanent decentralized storage network.","Other crypto/web3 topics"
"2017-08-01","Bitcoin Cash hard fork launches after block size debates, splitting the network into BTC and BCH.","#OfficialBitcoin"
"2017-08-01","SegWit activates, scaling debate partially resolves with capacity increase.","#OfficialBitcoin"
"2017-08-01","Bitcoin Classic v1.4.2 released, hotfix to follow the Bitcoin Cash (BCH) fork.","Bitcoin software variants"
"2017-08-01","Bitcoin Unlimited v1.2.1 released, hotfix to follow the BCH fork.","Bitcoin software variants"
"2017-08-01","btcd v0.13.0 released, introducing Segregated Witness (SegWit) support.","Bitcoin software variants"
"2017-08-01","Bcoin updated to support SegWit and the BCH fork.","Bitcoin software variants"
"2017-08-01","Bitcoin Cash hard fork occurs at block 478558, launching BCH with 8 MB blocks and a new emergency DAA.","Bitcoin software variants"
"2017-08-01","Bitcoin Cash hard fork at block 478558 creates BCH, led by Bitcoin ABC client.","Bitcoin software variants"
"2017-08-01","BIP148 activates; nodes reject non-SegWit blocks, adding pressure to miners.","Bitcoin software variants"
"2017-08-08","SegWit2x group finalizes its signalling, aligning with UASF goals and preventing a chain split.","Bitcoin software variants"
"2017-08-16","btc1 v1.14.3 released, bug fixes and further SegWit2x preparations.","Bitcoin software variants"
"2017-08-22","Bitcoin Unlimited v1.2.2 released, minor fixes for BCH client.","Bitcoin software variants"
"2017-08-23","SegWit activates at block 481,824, improving scalability and fixing transaction malleability issues.","#OfficialBitcoin"
"2017-08-24","BIP141 (Segregated Witness) activates, fixing malleability and scaling capacity.","#OfficialBitcoin"
"2017-08-24","SegWit officially activates on Bitcoin mainnet at block 481,824.","Bitcoin software variants"
"2017-08-25","Bitcoin XT v0.11E released, transitioning the client to support Bitcoin Cash (BCH).","Bitcoin software variants"
"2017-09-01","~$5,000 — First move above $5k.","#OfficialBitcoin"
"2017-09-01","Community criticism over pre-mine allegations begins, questioning team transparency.","Bitcoin software variants"
"2017-09-01","Team 007 announces Bitcoin Diamond development, maintaining anonymity.","Bitcoin software variants"
"2017-09-02","Bitcoin XT v0.11F released, minor BCH client update.","Bitcoin software variants"
"2017-09-02","Bitcoin Unlimited v1.2.3 released, maintenance update.","Bitcoin software variants"
"2017-09-04","China bans ICOs as illegal fundraising, ordering platforms to halt token issuance immediately.","Government"
"2017-09-04","Chainlink whitepaper is published by Nazarov, Ellis, and Ari Juels, defining decentralized oracles.","Other crypto/web3 topics"
"2017-09-12","~$2,900 — China ICO crackdown triggers a sharp drop.","#OfficialBitcoin"
"2017-09-14","Bitcoin Core v0.15.0 released, performance and wallet upgrades","Bitcoin software variants"
"2017-09-14","Knots v0.15 released, adding performance improvements and wallet upgrades.","Bitcoin software variants"
"2017-09-15","KuCoin exchange launches, branded ""People's Exchange,"" founded by an initial core team.","Other crypto/web3 topics"
"2017-09-29","Cardano mainnet launches, beginning the Byron era and enabling ADA transactions on the network.","Other coins"
"2017-10-01","Community skepticism over team anonymity and project legitimacy grows.","Bitcoin software variants"
"2017-10-05","btc1 v1.14.4 released, final build before planned hard fork.","Bitcoin software variants"
"2017-10-09","Bitcoin Unlimited v1.2.4 released, bug fix.","Bitcoin software variants"
"2017-10-13","~$5,600 — Recovers to a new ATH.","#OfficialBitcoin"
"2017-10-15","Web3 Foundation runs Polkadot ICO, raising ~$145M in a Dutch auction for DOT development.","Other coins"
"2017-10-16","Ethereum Byzantium upgrade reduces block rewards, adds zk-SNARK support, and enhances contracts.","Other coins"
"2017-10-21","~$6,180 — Another fresh ATH.","#OfficialBitcoin"
"2017-10-24","Bitcoin Gold hard fork at Bitcoin block 491407; snapshot for 1:1 BTG distribution.","Bitcoin software variants"
"2017-10-24","Bitcoin Diamond hard fork announced, to occur at block 495,866 with 1:10 distribution ratio.","Bitcoin software variants"
"2017-10-24","Bitcoin Atom (BCA) fork announced, planned for Bitcoin block height 505,888.","Bitcoin software variants"
"2017-11-06","~$7,300 — Breaks above $7.3k.","#OfficialBitcoin"
"2017-11-08","SegWit2x hard fork cancelled, ending the scaling debate era.","#OfficialBitcoin"
"2017-11-08","SegWit2x hard fork cancelled due to lack of consensus; btc1 development abandoned.","Bitcoin software variants"
"2017-11-10","Bitcoin Classic project officially shut down, citing BCH success as fulfillment of its goal.","Bitcoin software variants"
"2017-11-11","Bitcoin Core v0.15.1 released, stability and bug improvements","Bitcoin software variants"
"2017-11-12","~$5,519–$6,295 — Brief crash during BCH turmoil.","#OfficialBitcoin"
"2017-11-12","Bitcoin Gold mainnet launches (block 491408) with Equihash-BTG mining algorithm.","Bitcoin software variants"
"2017-11-13","BCH protocol upgrade replaces unstable EDA with a new Difficulty Adjustment Algorithm (DAA).","Bitcoin software variants"
"2017-11-13","Bitcoin ABC implements new Difficulty Adjustment Algorithm to stabilize block times.","Bitcoin software variants"
"2017-11-17","~$7,600–$8,100 — Rally resumes, around ~$7.9k.","#OfficialBitcoin"
"2017-11-20","Bitcoin XT v0.11G released, supporting the November 2017 Bitcoin Cash protocol upgrade.","Bitcoin software variants"
"2017-11-20","Bitcoin Unlimited v1.2.5 released, supporting November 2017 BCH upgrade.","Bitcoin software variants"
"2017-11-24","Hard fork executed at block 495,866; BCD supply 210M, X13 PoW algorithm introduced.","Bitcoin software variants"
"2017-11-25","~$9,000 — Breaks $9k milestone.","#OfficialBitcoin"
"2017-11-27","Bitcoin Diamond mainnet launches, BCD begins trading on major exchanges.","Bitcoin software variants"
"2017-11-28","Elon Musk tweets denial, saying rumors linking him to being Satoshi Nakamoto are ""not true.""","#OfficialBitcoin"
"2017-11-28","~$10,000 — First time above $10k.","#OfficialBitcoin"
"2017-11-28","CryptoKitties launches as first viral blockchain game, introducing collectible NFT gameplay.","Other crypto/web3 topics"
"2017-11-29","~$11,000 — Surges past $11k.","#OfficialBitcoin"
"2017-12-03","CryptoKitties congests Ethereum network, exposing blockchain scalability limitations for gaming.","Other crypto/web3 topics"
"2017-12-05","~$12,000 — Breaks $12k.","#OfficialBitcoin"
"2017-12-06","~$13,000 — Breaks $13k.","#OfficialBitcoin"
"2017-12-07","~$17,000 — Leaps through $17k.","#OfficialBitcoin"
"2017-12-08","~$18,000 — Prints ~$18k.","#OfficialBitcoin"
"2017-12-15","~$17,900 — Stabilizes near ~$17.9k.","#OfficialBitcoin"
"2017-12-17","BTC reaches all-time high of $19,783 on Coinbase, marking peak of 2017 bull run before crash.","#OfficialBitcoin"
"2017-12-18","First stablecoin, Single-Collateral DAI (Sai), launches on Ethereum, backed by ETH only.","Other crypto/web3 topics"
"2017-12-18","Single-Collateral DAI (Sai) launches on Ethereum, backed exclusively by ETH.","Other crypto/web3 topics"
"2017-12-18","Single-Collateral DAI (Sai) launches on Ethereum, backed exclusively by ETH.","Other crypto/web3 topics"
"2017-12-22","~$13,800 — Loses ~⅓ in 24h, falls below $14k.","#OfficialBitcoin"
"2018-01-01","Multi-signature wallets become standard for institutional and high-value storage.","#OfficialBitcoin"
"2018-01-09","Bitcoin Private announced by the Zclassic team, planned as a merge-fork of Bitcoin and Zclassic UTXOs.","Bitcoin software variants"
"2018-01-13","16.8M BTC mined, representing 80% of the total capped supply and underscoring Bitcoin's scarcity.","#OfficialBitcoin"
"2018-01-16","Bitcoin Unlimited v1.3.0 released, new features for BCH network.","Bitcoin software variants"
"2018-01-24","Hard fork executed at block 505,888; Bitcoin holders received BCA 1:1.","Bitcoin software variants"
"2018-01-25","Bitcoin Atom mainnet launched, introducing PoW+PoS hybrid consensus and atomic swap framework.","Bitcoin software variants"
"2018-02-05","~$6,200 — Down ~50% in 16 days.","#OfficialBitcoin"
"2018-02-26","Bitcoin Core v0.16.0 released, native SegWit wallet support added","Bitcoin software variants"
"2018-02-26","Bitcoin Unlimited v1.3.1 released, minor fix update.","Bitcoin software variants"
"2018-02-26","Knots v0.16 released, adding full native SegWit wallet support.","Bitcoin software variants"
"2018-02-28","Snapshot taken at Bitcoin block 511,346 and Zclassic block 272,991 to record balances for airdrop.","Bitcoin software variants"
"2018-03-01","Bcoin v1.0.2 released, improving wallet and network performance.","Bitcoin software variants"
"2018-03-02","Bitcoin Private mainnet launches; supply equals combined BTC + ZCL UTXOs.","Bitcoin software variants"
"2018-03-15","Lightning Network mainnet beta launches with cautionary warnings about fund risks.","#OfficialBitcoin"
"2018-05-08","The DAOstack ICO launches and sells out in just 66 seconds, raising part of a ~$30M total.","Other crypto/web3 topics"
"2018-05-15","Block size limit raised from 8 MB to 32 MB; re-enabled several early disabled opcodes.","Bitcoin software variants"
"2018-05-15","ABC upgrade increases block size to 32 MB and re-enables disabled opcodes.","Bitcoin software variants"
"2018-05-15","Circle announces USDC stablecoin via the Centre Consortium with Coinbase.","Other crypto/web3 topics"
"2018-05-16","""Team Rocket"" publishes Avalanche whitepaper on IPFS, introducing the novel consensus.","Other coins"
"2018-05-18","Bitcoin XT v0.11H released, supporting the May 2018 BCH upgrade.","Bitcoin software variants"
"2018-05-18","Bitcoin Unlimited v1.4.0 released, supporting May 2018 BCH upgrade.","Bitcoin software variants"
"2018-05-18","Bitcoin Gold suffers 51% attack, ~$18M double-spent from exchanges.","Bitcoin software variants"
"2018-05-19","Exchange partnerships suspended following 51% attack, liquidity problems emerge.","Bitcoin software variants"
"2018-05-30","BCD network hit by 51% attack, similar to Bitcoin Gold's exploit.","Bitcoin software variants"
"2018-06-01","Recovery plan announced following 51% attack, attempts to restore confidence.","Bitcoin software variants"
"2018-06-10","Coinrail hack in South Korea loses ~$40M in altcoins, fueling wider concerns about exchange security.","#OfficialBitcoin"
"2018-06-15","Bitcoin Core v0.16.1 released, further SegWit and bug fixes","Bitcoin software variants"
"2018-06-25","Bitcoin Unlimited v1.4.1 released, maintenance update.","Bitcoin software variants"
"2018-06-25","Emergency fork activates BTG-specific Equihash variant to resist ASICs.","Bitcoin software variants"
"2018-07-29","Bitcoin Core v0.16.2 released, maintenance and refinements","Bitcoin software variants"
"2018-07-31","Binance acquires Trust Wallet, marking its first major move to expand the ecosystem.","Other crypto/web3 topics"
"2018-07-31","(Unlisted in sources; Binance acquisition of Trust Wallet not included here.)","Other crypto/web3 topics"
"2018-08-01","Team announces future privacy features (never fully implemented).","Bitcoin software variants"
"2018-09-10","Paxos Standard (PAX) stablecoin launches, fully USD-backed and NYDFS-approved.","Other crypto/web3 topics"
"2018-09-10","Gemini launches GUSD, the first NYDFS-regulated stablecoin issued under regulatory oversight.","Other crypto/web3 topics"
"2018-09-18","Bitcoin Core v0.16.3 released, critical inflation bug fix","Bitcoin software variants"
"2018-09-18","Knots v0.17 released, improving wallet functionality and RPC interfaces.","Bitcoin software variants"
"2018-09-18","ETHLend rebrands to Aave, signaling expansion beyond Ethereum and into broader crypto lending.","Other crypto/web3 topics"
"2018-09-18","Aave rebrands from ETHLend to Aave, and governance begins decentralizing.","Other crypto/web3 topics"
"2018-09-24","Venture capital firm a16z invests **$15 million** in MakerDAO, acquiring ~6% of MKR supply.","Other crypto/web3 topics"
"2018-09-26","USDC officially launches on Ethereum, issued by Centre as a dollar-backed token.","Other crypto/web3 topics"
"2018-09-27","Compound V1 launches on Ethereum, supporting 5 assets for decentralized borrowing and lending.","Other crypto/web3 topics"
"2018-09-28","Bitcoin Core v0.15.2 released, minor backported fixes","Bitcoin software variants"
"2018-09-28","Bitcoin Core v0.14.3 released, maintenance release","Bitcoin software variants"
"2018-10-15","Bitcoin SV Node v0.1.0 released to prepare for BCH hard fork with 128 MB block size support.","Bitcoin software variants"
"2018-10-18","Bitcoin Unlimited v1.4.2 released, new BCH features.","Bitcoin software variants"
"2018-10-31","~$6,300 — Holds ~$6.3k on the 10th anniversary.","#OfficialBitcoin"
"2018-11-02","Hayden Adams launches Uniswap V1 on Ethereum, pioneering the AMM DEX model.","Other crypto/web3 topics"
"2018-11-02","Uniswap V1 launches on Ethereum, introducing AMMs for ERC-20 swaps without order books.","Other crypto/web3 topics"
"2018-11-14","~$5,590 — Breaks below $6k support.","#OfficialBitcoin"
"2018-11-15","Bitcoin XT v0.11I released, supporting the November 2018 BCH upgrade.","Bitcoin software variants"
"2018-11-15","Bitcoin Unlimited v1.5.0 released, supporting contentious Nov 2018 BCH upgrade.","Bitcoin software variants"
"2018-11-15","Contentious hard fork splits BCH into two chains: Bitcoin Cash (ABC-led) and Bitcoin SV.","Bitcoin software variants"
"2018-11-15","BCH hard fork at block 556,766 creates two chains: BCH (ABC) and Bitcoin SV.","Bitcoin software variants"
"2018-11-15","Major split: Bitcoin ABC leads BCH, while Bitcoin SV forks off.","Bitcoin software variants"
"2018-11-20","Argent raises its $4 M seed round from leading VCs like Index Ventures, Creandum, and Atomico.","Other crypto/web3 topics"
"2018-11-24","~$3,778 — Lows under $4k.","#OfficialBitcoin"
"2018-11-29","~$4,333 — Rebounds to ~$4.3k.","#OfficialBitcoin"
"2018-12-15","BTC hits bear market bottom at $3,122, down 84% from peak, ending the longest crypto winter.","#OfficialBitcoin"
"2019-01-01","Lightning adoption grows with mobile wallets and merchant integration.","#OfficialBitcoin"
"2019-01-01","Network hashrate stabilizes at lower levels, reduced exchange support.","Bitcoin software variants"
"2019-01-04","~$3,820 — Downtrend persists into early 2019.","#OfficialBitcoin"
"2019-01-23","Bitcoin XT v0.11J released, maintenance update for BCH client.","Bitcoin software variants"
"2019-01-23","Bitcoin Unlimited v1.5.1 released, BCH client maintenance.","Bitcoin software variants"
"2019-01-28","Hard fork changes PoW to Equihash-BTG (144,5) for stronger ASIC-resistance.","Bitcoin software variants"
"2019-02-07","~$3,379 — Q1 2019 local low.","#OfficialBitcoin"
"2019-02-24","~$4,199 — Starts a recovery.","#OfficialBitcoin"
"2019-02-28","Ethereum Constantinople upgrade reduces block rewards and improves Ethereum developer tools.","Other coins"
"2019-03-13","Cosmos Hub mainnet launches, pioneering inter-blockchain communication and cross-chain interoperability.","Other crypto/web3 topics"
"2019-03-15","Mark Karpeles found guilty of data manipulation, sentenced to 2.5 years suspended prison term.","#OfficialBitcoin"
"2019-04-02","~$5,000 — ~15% jump in hours, breaks $5k.","#OfficialBitcoin"
"2019-04-18","Binance Chain mainnet launches, migrating Binance Coin from Ethereum ERC-20 to native BEP-2.","Other coins"
"2019-04-19","MATIC token's Initial Exchange Offering (IEO) launches on Binance, marking its first public distribution.","Other coins"
"2019-05-02","Knots v0.18 released, with new features and performance enhancements.","Bitcoin software variants"
"2019-05-07","Binance hit by a major hack as attackers steal 7,000 BTC (~$40M) from exchange hot wallets.","Other crypto/web3 topics"
"2019-05-15","Bitcoin XT v0.11K released, final known update; project now largely inactive.","Bitcoin software variants"
"2019-05-15","Bitcoin Unlimited v1.6.0 released, supporting May 2019 BCH upgrade.","Bitcoin software variants"
"2019-05-15","Protocol upgrade activates Schnorr signatures for OP_CHECKSIG (single signature).","Bitcoin software variants"
"2019-05-15","Upgrade introduces Schnorr signatures for single-sig transactions.","Bitcoin software variants"
"2019-05-23","Compound V2 launches, introducing cTokens that enable composability across DeFi applications.","Other crypto/web3 topics"
"2019-05-29","~$8,721 — Bullish rally continues.","#OfficialBitcoin"
"2019-05-30","Chainlink mainnet launches on Ethereum with an ETH/USD price feed, marking its first live oracle.","Other crypto/web3 topics"
"2019-06-04","~$7,750 — Pullback >10%.","#OfficialBitcoin"
"2019-06-15","~$8,700 — Rebounds again.","#OfficialBitcoin"
"2019-06-22","~$10,738 — Reclaims $10k+.","#OfficialBitcoin"
"2019-06-26","~$12,637 — Peaks near $13k on Libra news.","#OfficialBitcoin"
"2019-07-12","Trump tweets that cryptocurrencies are ""not money"" and ""based on thin air,"" publicly dismissing Bitcoin.","Government"
"2019-07-24","Quasar protocol upgrade executed, raising default block cap to 2 GB as part of scaling plan.","Bitcoin software variants"
"2019-08-05","Second Litecoin halving reduces the block reward to 12.5 LTC.","Other coins"
"2019-08-29","Libbitcoin v3.6.0 released, with build improvements and maintenance fixes.","Bitcoin software variants"
"2019-09-23","Binance.US launches as a separate entity to serve American users under compliance rules.","Other crypto/web3 topics"
"2019-11-01","Michael Egorov publishes the StableSwap whitepaper, outlining low-slippage swaps for stablecoins.","Other crypto/web3 topics"
"2019-11-10","Michael Egorov publishes the StableSwap whitepaper, founding Curve's low-slippage AMM design.","Other crypto/web3 topics"
"2019-11-10","Michael Egorov publishes the StableSwap whitepaper, introducing a low-slippage AMM ideal for stablecoins.","Other crypto/web3 topics"
"2019-11-15","Bitcoin Unlimited v1.7.0 released, supporting Nov 2019 BCH upgrade.","Bitcoin software variants"
"2019-11-15","Upgrade introduces Schnorr multisig support and additional transaction/script improvements.","Bitcoin software variants"
"2019-11-15","Upgrade extends Schnorr support to multisig transactions.","Bitcoin software variants"
"2019-11-18","Multi-Collateral DAI (MCD) launches, enabling a broader range of crypto collateral.","Other crypto/web3 topics"
"2019-11-18","Multi-Collateral DAI (DAI) is introduced, enabling multiple assets as collateral.","Other crypto/web3 topics"
"2019-11-24","Bitcoin Core v0.19.0 released, adding bech32 and taproot groundwork","Bitcoin software variants"
"2019-11-24","Knots v0.19 released, continuing policy modifications on top of Core.","Bitcoin software variants"
"2019-12-01","Development activity significantly decreases, community interest wanes.","Bitcoin software variants"
"2019-12-08","Ethereum Istanbul upgrade optimizes gas usage, boosts security, and improves interoperability.","Other coins"
"2020-01-01","DeFi wallets integrate with smart contracts, expanding beyond simple Bitcoin storage.","#OfficialBitcoin"
"2020-01-01","Funding initiatives (OpenSats, BitMEX Research) support independent Bitcoin development.","#OfficialBitcoin"
"2020-01-01","Development activity minimal, project effectively abandoned.","Bitcoin software variants"
"2020-01-01","Curve Protocol officially launches on Ethereum, deploying StableSwap AMM to start trading.","Other crypto/web3 topics"
"2020-01-01","Curve Finance V1 launches, pioneering an AMM optimized for efficient, low-fee stablecoin trading.","Other crypto/web3 topics"
"2020-01-01","Curve Finance (formerly StableSwap) launches its V1 protocol on Ethereum, focused on efficient stablecoin swaps.","Other crypto/web3 topics"
"2020-01-02","Ethereum Muir Glacier upgrade delays the Ethereum difficulty bomb for proof-of-stake preparation.","Other coins"
"2020-01-07","Aave V1 launches, pioneering liquidity pool lending and introducing the first flash loans.","Other crypto/web3 topics"
"2020-01-15","Bcoin v2.0 released, modular upgrades for wallets, mining, and SPV support.","Bitcoin software variants"
"2020-01-24","Bitcoin Gold suffers second 51% attack, further damaging reputation.","Bitcoin software variants"
"2020-02-04","Genesis hard fork (v1.0.0) activates, removing block size limits and restoring legacy opcodes.","Bitcoin software variants"
"2020-03-09","Bitcoin Core v0.19.1 released, bug fixes and minor upgrades","Bitcoin software variants"
"2020-03-12","On ""Black Thursday"", market turmoil leaves ~$4.5M DAI briefly uncollateralized.","Other crypto/web3 topics"
"2020-03-12","On ""Black Thursday,"" a volatile market caused ~$4.5M in DAI to become temporarily under-collateralized.","Other crypto/web3 topics"
"2020-03-12","""Black Thursday"" occurs: market crash leads to ~$4.5 million in under-collateralized DAI.","Other crypto/web3 topics"
"2020-03-16","Solana Mainnet Beta launches publicly, initiating live network activity.","Other coins"
"2020-03-31","Balancer Protocol V1 launches on Ethereum, pioneering customizable liquidity pools with 8 tokens.","Other crypto/web3 topics"
"2020-04-02","Binance acquires CoinMarketCap, cementing its role as a leader in crypto market data.","Other crypto/web3 topics"
"2020-04-20","dYdX launches its first Bitcoin perpetual contracts (10× leverage) on Ethereum layer-2.","Other crypto/web3 topics"
"2020-05-11","Bitcoin's third Halving cuts rewards from 12.5 BTC to 6.25 BTC, further reducing new supply issuance.","#OfficialBitcoin"
"2020-05-15","Bitcoin Unlimited v1.8.0 released, supporting May 2020 BCH upgrade.","Bitcoin software variants"
"2020-05-15","Protocol upgrade replaces SigOps with SigChecks, improving scalability and validation rules.","Bitcoin software variants"
"2020-05-18","Uniswap V2 launches, adding ERC-20/ERC-20 swaps, flash swaps, and improved price oracles.","Other crypto/web3 topics"
"2020-05-26","Polkadot mainnet (Relay Chain) launches under PoA, marking the live network phase.","Other coins"
"2020-05-27","Foundation is publicly announced via blog by Kayvon Tehranian, emphasizing curated digital goods.","Other crypto/web3 topics"
"2020-05-30","Polkadot mainnet launches, enabling parachains and shared security across multiple blockchains.","Other crypto/web3 topics"
"2020-06-03","Bitcoin Core v0.20.0 released, building toward Schnorr/Taproot","Bitcoin software variants"
"2020-06-03","Knots v0.20 released, preparing for Taproot.","Bitcoin software variants"
"2020-06-15","Compound launches COMP token with liquidity mining, officially starting DeFi Summer yield farming.","Other crypto/web3 topics"
"2020-06-15","COMP governance token begins distribution, sparking ""DeFi Summer"" and incentivized governance.","Other crypto/web3 topics"
"2020-06-15","COMP governance token airdrop begins, launching DeFi Summer and decentralizing control.","Other crypto/web3 topics"
"2020-06-18","Network transitions to Nominated Proof-of-Stake (NPoS), enabling DOT-holder governance.","Other coins"
"2020-06-20","Matic Network mainnet launches with PoS and Plasma chains, enabling live transactions.","Other coins"
"2020-06-23","BAL token launches with liquidity mining, incentivizing governance and protocol participation.","Other crypto/web3 topics"
"2020-06-29","Hack exploiting ""transfer fee"" tokens drains ~$500K, exposing risks in AMM pool design.","Other crypto/web3 topics"
"2020-07-15","Avalanche ICO ends—public sale raises over $42 million in under 24 hours.","Other coins"
"2020-07-15","RARI governance token debuts via Token Generation Event, empowering active users.","Other crypto/web3 topics"
"2020-07-17","Protocol rebrands to Yearn Finance and launches YFI in a fair launch—no pre-mine or team allocation.","Other crypto/web3 topics"
"2020-07-29","Shelley hard fork activates at 21:44:51 UTC, ushering in decentralization and staking capabilities.","Other coins"
"2020-08-01","Bitcoin Core v0.20.1 released, patch for consensus handling","Bitcoin software variants"
"2020-08-01","ABC proposes Infrastructure Funding Plan (IFP) redirecting 8% of block rewards.","Bitcoin software variants"
"2020-08-11","MicroStrategy announces $250 million Bitcoin purchase, starting corporate treasury adoption trend.","#OfficialBitcoin"
"2020-08-11","Yearn Finance YFI token launches, reaching $43,000 in 3 days through innovative yield strategies.","Other crypto/web3 topics"
"2020-08-13","CRV governance token launches, enabling decentralized control of Curve Finance from Day One.","Other crypto/web3 topics"
"2020-08-13","CRV governance token launches; Egorov secures a large portion, sparking decentralization concerns.","Other crypto/web3 topics"
"2020-08-13","The CRV governance token is launched by an anonymous deployer via Curve DAO—introducing veCRV vote-escrow mechanics.","Other crypto/web3 topics"
"2020-08-28","btcd v0.21.0-beta released, aligning with Bitcoin Core consensus rules for Taproot activation.","Bitcoin software variants"
"2020-08-28","SushiSwap launches vampire attack on Uniswap, stealing over $1 billion in total value locked.","Other crypto/web3 topics"
"2020-09-01","Binance Smart Chain launches with smart contracts, making Binance Coin a key gas and utility token.","Other coins"
"2020-09-01","Uniswap launches UNI token airdrop worth $1,200, distributing tokens to early decentralized users.","Other crypto/web3 topics"
"2020-09-02","Yearn launches yETH vault; draws ~$140M in ETH within 48 hours on DeFi demand.","Other crypto/web3 topics"
"2020-09-03","Official MetaMask Mobile app launches on iOS and Android, moving beyond browser extension.","Other crypto/web3 topics"
"2020-09-05","Chef Nomi sells large SUSHI holdings, triggering a token price crash and major community backlash.","Other crypto/web3 topics"
"2020-09-11","Under pressure, Chef Nomi returns $14M ETH and hands SushiSwap control to Sam Bankman-Fried.","Other crypto/web3 topics"
"2020-09-16","Kraken secures Wyoming SPDI charter, the first crypto exchange to earn this banking license.","Other crypto/web3 topics"
"2020-09-16","UNI governance token launches; airdropped to early users, giving protocol control.","Other crypto/web3 topics"
"2020-09-16","UNI governance token launches with airdrop, giving early users protocol governance rights.","Other crypto/web3 topics"
"2020-09-16","UNI governance token launches via airdrop, empowering holders with voting rights.","Other crypto/web3 topics"
"2020-09-21","Avalanche mainnet launches, kickstarting live platform operation.","Other coins"
"2020-09-25","KuCoin suffers a major hack; ~$275M stolen from hot wallets in one of 2020's largest crypto breaches.","Other crypto/web3 topics"
"2020-10-06","MetaMask introduces the **Swaps** feature in-browser, enabling token aggregation swaps.","Other crypto/web3 topics"
"2020-10-15","DeFi total value locked reaches $10 billion milestone, cementing decentralized finance legitimacy.","Other crypto/web3 topics"
